0.0,0.5018997,0
0.0,0.5018997,0
0.0,0.5018997,0
0.0,0.5018997,0
0.05,2.714607,0
0.05,2.639923,0
0.05,2.639923,0
0.05,2.639923,0
0.1,4.76255,0
0.1,4.969704,0
0.1,4.76255,0
0.1,4.76255,0
0.15,7.136421,0
0.15,6.881378,0
0.15,6.91597,0
0.15,6.881378,0
0.2,9.000206,0
0.2,9.379921,0
0.2,9.000206,0
0.2,9.000206,0
0.25,11.42596,0
0.25,11.11923,0
0.25,11.31479,0
0.25,11.16712,0
0.3,13.23616,0
0.3,13.74625,0
0.3,13.23806,0
0.3,13.25136,0
0.35,15.72501,0
0.35,15.35879,0
0.35,15.70961,0
0.35,15.46996,0
0.4,17.47952,0
0.4,17.9915,0
0.4,17.72126,0
0.4,17.85733,0
0.45,19.60024,0
0.45,20.11433,0
0.45,19.74791,0
0.45,19.60044,0
0.5,22.23695,0
0.5,21.72307,0
0.5,22.07009,0
0.5,22.15447,0
0.55,23.8438,0
0.55,24.36338,0
0.55,24.03935,0
0.55,24.01826,0
0.6,26.48811,0
0.6,25.96852,0
0.6,26.48621,0
0.6,26.45161,0
0.65,28.16203,0
0.65,28.61263,0
0.65,28.3308,0
0.65,28.42657,0
0.7,30.73736,0
0.7,30.22137,0
0.7,30.73926,0
0.7,30.74306,0
0.75,32.57435,0
0.75,32.86758,0
0.75,32.64333,0
0.75,32.83509,0
0.8,34.99231,0
0.8,34.5742,0
0.8,34.99611,0
0.8,34.99421,0
0.85,36.80231,0
0.85,37.12254,0
0.85,37.12254,0
0.85,36.86769,0
0.9,39.24726,0
0.9,39.21457,0
0.9,39.25296,0
0.9,39.25106,0
0.95,41.26631,0
0.95,41.37559,0
0.95,41.37369,0
0.95,41.26821,0
1.0,43.48302,0
1.0,43.48492,0
1.0,43.48682,0
1.0,43.48872,0
0.0,0.5018997,2
0.0,0.5018997,2
0.0,0.5018997,2
0.0,0.5018997,2
0.05,2.634224,2
0.05,2.739502,2
0.05,2.634224,2
0.05,2.634224,2
0.1,4.749252,2
0.1,4.749252,2
0.1,4.962105,2
0.1,4.749252,2
0.15,6.862381,2
0.15,7.117226,2
0.15,6.862381,2
0.15,6.902473,2
0.2,8.992607,2
0.2,8.97551,2
0.2,9.360924,2
0.2,8.97551,2
0.25,11.09034,2
0.25,11.39537,2
0.25,11.09034,2
0.25,11.29179,2
0.3,13.26865,2
0.3,13.20347,2
0.3,13.71165,2
0.3,13.20347,2
0.35,15.42777,2
0.35,15.66952,2
0.35,15.3204,2
0.35,15.68282,2
0.4,17.5563,2
0.4,17.43353,2
0.4,17.94361,2
0.4,17.43353,2
0.45,19.80949,2
0.45,19.95906,2
0.45,19.54665,2
0.45,20.05864,2
0.5,21.83824,2
0.5,21.73466,2
0.5,22.17747,2
0.5,21.66358,2
0.55,24.19672,2
0.55,24.25031,2
0.55,23.78051,2
0.55,24.29649,2
0.6,26.13158,2
0.6,25.89744,2
0.6,26.41342,2
0.6,26.11029,2
0.65,28.53225,2
0.65,28.05676,2
0.65,28.53225,2
0.65,28.53415,2
0.7,30.20238,2
0.7,30.65298,2
0.7,30.47662,2
0.7,30.46882,2
0.75,32.7756,2
0.75,32.3634,2
0.75,32.7756,2
0.75,32.7775,2
0.8,34.5955,2
0.8,34.89843,2
0.8,34.80055,2
0.8,34.85054,2
0.85,37.02106,2
0.85,36.70463,2
0.85,37.02296,2
0.85,37.02106,2
0.9,38.97892,2
0.9,39.14558,2
0.9,39.10739,2
0.9,39.14578,2
0.95,41.26251,2
0.95,41.15723,2
0.95,41.26461,2
0.95,41.26271,2
1.0,43.36804,2
1.0,43.36804,2
1.0,43.37374,2
1.0,43.37374,2
0.0,0.5018997,4
0.0,0.5018997,4
0.0,0.5018997,4
0.0,0.5018997,4
0.05,2.615028,4
0.05,2.720505,4
0.05,2.615028,4
0.05,2.615028,4
0.1,4.737656,4
0.1,4.712761,4
0.1,4.864227,4
0.1,4.71846,4
0.15,6.806694,4
0.15,7.119324,4
0.15,6.806694,4
0.15,6.806694,4
0.2,8.97361,4
0.2,8.898727,4
0.2,9.207558,4
0.2,8.898727,4
0.25,10.99266,4
0.25,11.36858,4
0.25,10.99076,4
0.25,11.08484,4
0.3,13.19417,4
0.3,13.0503,4
0.3,13.5163,4
0.3,13.0484,4
0.35,15.16913,4
0.35,15.56424,4
0.35,15.13853,4
0.35,15.42417,4
0.4,17.72906,4
0.4,17.22867,4
0.4,17.48751,4
0.4,17.5297,4
0.45,19.3188,4
0.45,19.82509,4
0.45,19.38399,4
0.45,19.39349,4
0.5,21.91712,4
0.5,21.41084,4
0.5,21.82874,4
0.5,21.76546,4
0.55,23.50097,4
0.55,24.01485,4
0.55,23.62184,4
0.55,23.73872,4
0.6,26.10689,4
0.6,25.5949,4
0.6,26.10689,4
0.6,26.00521,4
0.65,27.82491,4
0.65,28.20272,4
0.65,27.8595,4
0.65,28.07995,4
0.7,30.29855,4
0.7,29.78467,4
0.7,30.30045,4
0.7,30.25846,4
0.75,32.16064,4
0.75,32.39838,4
0.75,32.12035,4
0.75,32.39838,4
0.8,34.49422,4
0.8,34.07611,4
0.8,34.49612,4
0.8,34.49612,4
0.85,36.51137,4
0.85,36.59195,4
0.85,36.3677,4
0.85,36.59385,4
0.9,38.68988,4
0.9,38.48463,4
0.9,38.69178,4
0.9,38.69178,4
0.95,40.78381,4
0.95,40.78571,4
0.95,40.68404,4
0.95,40.78951,4
1.0,42.86425,4
1.0,42.86425,4
1.0,42.86615,4
1.0,42.86615,4
0.0,0.5018997,6
