66.0,5.652122,5.654022,5.654022,5.652321,5.903366,5.903564,5.903564,5.903564,5.757797,5.759697,5.759697,5.759697,5.886269,5.886269,5.886269,5.886269
68.0,5.057655,5.057655,5.057655,5.057655,4.722229,4.722229,4.722229,4.722229,5.176826,5.178726,5.178726,5.178726,5.220917,5.220917,5.220917,5.220917
70.0,4.225441,4.225441,4.225441,4.225441,4.22184,4.22184,4.22184,4.22184,4.346512,4.346512,4.346512,4.348412,4.348412,4.350311,4.350311,4.350311
72.0,3.494904,3.514099,3.514099,3.514099,3.466209,3.466209,3.466209,3.468109,3.552689,3.552689,3.552689,3.552689,3.86322,3.86322,3.86322,3.86322
74.0,2.904236,2.902534,2.904236,2.902534,3.078896,3.078896,3.078896,3.078896,3.044502,3.044502,3.044502,3.044502,3.165375,3.165375,3.165375,3.165375
76.0,2.480629,2.480629,2.480629,2.480629,2.52092,2.52092,2.52092,2.52092,2.547913,2.547913,2.547913,2.547913,2.620697,2.620697,2.620697,2.620697
78.0,1.926453,1.926453,1.926453,1.926453,1.953445,1.953445,1.953445,1.955345,2.141403,2.141403,2.141403,2.141403,2.101112,2.101112,2.101112,2.101112
80.0,1.608124,1.608124,1.608124,1.608124,1.690605,1.690605,1.692505,1.692505,1.738693,1.738693,1.738693,1.738693,1.757889,1.757889,1.757889,1.757889
82.0,1.368279,1.368279,1.368279,1.366577,1.454758,1.454758,1.454758,1.454758,1.539139,1.539139,1.539139,1.539139,1.381973,1.381973,1.381973,1.381973
84.0,1.125675,1.125675,1.125675,1.125675,1.137131,1.137131,1.137131,1.137131,1.138439,1.138439,1.138439,1.138439,1.108719,1.108719,1.108719,1.108719
86.0,1.015633,1.015633,1.015633,1.015633,1.010853,1.010853,1.010853,1.010853,0.9460449,0.9460449,0.9460449,0.9460449,1.016941,1.016941,1.016941,1.016941
88.0,0.8488998,0.8461494,0.8488998,0.8461494,0.8596344,0.8596344,0.8596344,0.8596344,0.8852959,0.8852959,0.8852959,0.8852959,0.8616638,0.8616638,0.8616638,0.8616638
90.0,0.821209,0.821209,0.821209,0.821209,0.8319435,0.8319435,0.8319435,0.8319435,0.8380318,0.8380318,0.8380318,0.8380318,0.8339729,0.8339729,0.8339729,0.8339729
92.0,0.8542671,0.8542671,0.8542671,0.8542671,0.8987808,0.8987808,0.8987808,0.8987808,0.9163246,0.9163246,0.9163246,0.9163246,0.9203835,0.9203835,0.9203835,0.9203835
94.0,1.007515,1.007515,1.007515,1.007515,1.029118,1.029118,1.029118,1.029118,1.052029,1.052029,1.052029,1.052029,1.042603,1.042603,1.042603,1.042603
96.0,1.166851,1.166851,1.166851,1.166851,1.178307,1.178307,1.178307,1.178307,1.243805,1.243805,1.243805,1.243805,1.162071,1.162071,1.162071,1.162071
98.0,1.414268,1.412369,1.412369,1.412369,1.472054,1.473953,1.473953,1.473953,1.472054,1.472054,1.472054,1.472054,1.481552,1.481552,1.481552,1.481552
100.0,1.935951,1.935951,1.935951,1.935951,2.012733,2.012733,2.012733,2.012733,1.782585,1.782585,1.782585,1.782585,2.043327,2.043327,2.043327,2.041626
102.0,2.058525,2.058525,2.058525,2.058525,2.29837,2.29837,2.29837,2.29837,2.229385,2.229385,2.229385,2.229385,2.089516,2.089516,2.089516,2.089516
104.0,2.587807,2.587807,2.587807,2.587807,2.720276,2.722176,2.722176,2.722176,2.716476,2.716476,2.716476,2.716476,2.649391,2.649391,2.649391,2.649391
106.0,3.322144,3.322144,3.322144,3.322144,3.421921,3.421921,3.421921,3.421921,3.454613,3.454613,3.454613,3.454613,3.372131,3.372131,3.372131,3.372131
108.0,3.724655,3.724655,3.724655,3.724655,3.91851,3.91851,3.91851,3.91851,3.926109,3.926109,3.928009,3.928009,4.031586,4.031586,4.031586,4.031586
110.0,4.610458,4.610458,4.610458,4.610458,4.765923,4.767822,4.767822,4.767822,4.8638,4.8638,4.8638,4.8638,4.771622,4.771622,4.771622,4.771622
112.0,5.596039,5.596039,5.596039,5.596039,5.603638,5.605537,5.603836,5.605537,5.517555,5.517555,5.519455,5.519455,5.427475,5.427475,5.429375,5.429375
114.0,6.303383,6.303383,6.305283,6.305283,6.462646,6.462646,6.462646,6.462646,6.336273,6.338173,6.338173,6.338173,6.495338,6.495338,6.495338,6.497238
